2.624	2.142	0.327	-1.450	-2.252	-4.120	0.619
3.062	2.067	0.217	-1.461	-2.640	-4.253	0.619
3.532	2.279	0.468	-1.386	-2.586	-4.062	0.619
6.036	2.876	0.430	-3.589	-5.988	-4.577	0.619
3.376	2.302	0.460	-1.225	-2.499	-3.704	0.619
2.645	1.689	0.166	-1.398	-2.422	-3.515	0.619
2.654	1.855	0.443	-1.143	-1.501	-3.034	0.619
2.571	1.913	0.066	-1.213	-1.137	-3.040	0.619
2.464	1.506	0.384	-0.886	-1.399	-2.603	0.619
3.629	2.120	0.983	-0.354	-0.983	-2.186	0.619
2.462	1.539	0.551	-0.683	-0.788	-2.538	0.619
1.896	1.215	0.190	-0.583	-0.779	-1.385	0.619
1.715	1.207	0.488	-0.331	-0.137	-0.561	0.619
1.126	0.597	0.032	-0.587	-0.216	-0.420	0.619
1.339	0.915	0.256	-0.359	0.331	0.497	0.619
1.235	0.977	0.376	0.195	0.847	1.300	0.619
1.256	1.065	0.590	0.308	1.002	1.590	0.619
1.083	1.121	0.430	0.263	1.257	1.387	0.619
1.046	0.920	0.535	0.656	1.549	2.352	0.619
0.801	0.752	0.320	0.400	1.438	2.412	0.619
0.791	0.839	0.530	0.361	1.679	2.862	0.619
0.713	0.825	0.438	0.471	1.764	2.818	0.619
0.976	0.903	0.577	0.591	2.087	3.439	0.619
0.602	0.382	0.311	0.449	1.829	2.942	0.619
0.746	0.875	0.615	0.598	2.044	3.367	0.619
0.229	0.315	0.012	0.145	2.102	2.963	0.619
0.425	0.518	0.367	0.374	1.811	3.322	0.619
0.993	1.010	0.467	0.705	2.383	3.811	0.619
1.169	1.054	1.067	1.065	2.152	3.552	0.619
0.322	0.281	0.090	0.229	1.561	2.355	0.619
0.439	0.096	-0.129	-0.106	0.875	1.680	0.619
0.450	0.305	-0.096	-0.465	-0.963	1.690	0.619
0.239	0.307	-0.044	-0.184	0.324	2.511	0.619
0.992	0.700	0.380	0.049	0.656	0.184	0.619
1.212	0.922	0.405	0.090	0.427	-0.043	0.619
1.319	0.931	0.260	0.130	-0.132	0.123	0.619
1.695	1.318	0.666	-0.113	-0.087	-0.316	0.619
2.121	1.367	0.495	-0.161	-0.708	-0.689	0.619
1.959	1.828	0.470	-0.475	-0.764	-1.595	0.619
